country,happiness_rank,happiness_score,gdp_per_capita,health_(life_expectancy),freedom,trust_(government_corruption),year,code
Moldova,55,5.897,0.69177,0.5230899999999999,0.25201999999999997,0.019030000000000002,2016,
Russia,56,5.856,1.2322799999999998,0.58991,0.32682,0.03586,2016,
Poland,57,5.835,1.24585,0.69058,0.4519,0.055,2016,POL
South Korea,57,5.835,1.35948,0.88645,0.25168,0.07716,2016,
Bolivia,59,5.822,0.79422,0.4697,0.50961,0.07746,2016,
Lithuania,60,5.813,1.2692,0.64674,0.18929,0.0182,2016,LTU
Belarus,61,5.8020000000000005,1.1306200000000002,0.6310399999999999,0.29091,0.17457,2016,BLR
North Cyprus,62,5.771,1.31141,0.8414200000000001,0.43596,0.16577999999999998,2016,
Slovenia,63,5.768,1.2994700000000001,0.79151,0.53164,0.03635,2016,SVN
Peru,64,5.742999999999999,0.9960200000000001,0.6299399999999999,0.37501999999999996,0.05292,2016,PER
Turkmenistan,65,5.6579999999999995,1.08017,0.44006000000000006,0.37408,0.28467,2016,TKM
Mauritius,66,5.648,1.14372,0.66189,0.46145,0.05202999999999999,2016,MUS
Libya,67,5.615,1.0668799999999998,0.52304,0.40671999999999997,0.10339000000000001,2016,LBY
Latvia,68,5.56,1.2178799999999999,0.63952,0.27996,0.0889,2016,LVA
Cyprus,69,5.546,1.31857,0.8488,0.29507,0.05227999999999999,2016,CYP
Paraguay,70,5.537999999999999,0.8937299999999999,0.58295,0.46235,0.07396,2016,PRY
Romania,71,5.528,1.1697,0.67602,0.36712,0.006790000000000001,2016,ROU
Estonia,72,5.517,1.2796399999999999,0.68098,0.41511000000000003,0.18519000000000002,2016,EST
Jamaica,73,5.51,0.89333,0.5946899999999999,0.43596999999999997,0.04294,2016,JAM
Croatia,74,5.4879999999999995,1.18649,0.70524,0.23906999999999998,0.04002,2016,HRV
Hong Kong,75,5.457999999999999,1.5107,0.9527700000000001,0.48078999999999994,0.31647,2016,HKG
Somalia,76,5.44,0.0,0.11465999999999998,0.5677800000000001,0.3118,2016,SOM
Kosovo,77,5.401,0.90145,0.54,0.14396,0.06547,2016,
Turkey,78,5.388999999999999,1.1649200000000002,0.64718,0.23889000000000002,0.12347999999999999,2016,TUR
Indonesia,79,5.314,0.95104,0.49373999999999996,0.39237,0.00322,2016,IDN
Jordan,80,5.303,0.9967299999999999,0.60712,0.36023,0.13297,2016,JOR
Azerbaijan,81,5.291,1.12373,0.54504,0.35327,0.17914000000000002,2016,AZE
Philippines,82,5.279,0.81217,0.47036000000000006,0.5485399999999999,0.11757000000000001,2016,
China,83,5.245,1.0278,0.73561,0.44011999999999996,0.02745,2016,CHN
Bhutan,84,5.196000000000001,0.8527,0.49759,0.46074,0.1616,2016,BTN
