country,happiness_rank,happiness_score,gdp_per_capita,health_(life_expectancy),freedom,trust_(government_corruption),code
Congo (Brazzaville),124,4.290999889,0.808964252,0.28995743399999996,0.435025871,0.07961813400000001,COG
Georgia,125,4.285999775,0.9506126640000001,0.649546981,0.309410036,0.251666635,GEO
Congo (Kinshasa),126,4.28000021,0.092102349,0.191407025,0.23596134800000002,0.060241355999999996,COD
Mali,127,4.190000057,0.476180494,0.169365674,0.306613743,0.10497024699999999,MLI
Ivory Coast,128,4.179999828,0.603048921,0.04864217,0.447706193,0.130061775,CIV
Cambodia,129,4.168000221000001,0.601765096,0.429783404,0.633375823,0.068105951,KHM
Sudan,130,4.138999939,0.6595166920000001,0.29092082399999997,0.014995855,0.08984752,SDN
Ghana,131,4.1199998860000004,0.6672248239999999,0.295637727,0.42302629399999997,0.02533637,GHA
Ukraine,132,4.096000195,0.8946519490000001,0.575903952,0.122974776,0.023029471,UKR
Uganda,133,4.0809998510000005,0.381430715,0.217632607,0.443185955,0.057069719000000005,UGA
Burkina Faso,134,4.032000065,0.35022771399999997,0.21584425899999998,0.32436785100000004,0.12032810599999999,BFA
Niger,135,4.027999878,0.161925331,0.268505007,0.363658696,0.138572946,NER
Malawi,136,3.970000029,0.23344203800000002,0.315089583,0.466914654,0.072711654,MWI
Chad,137,3.9360001089999996,0.438012987,0.041134715,0.162342027,0.053581882000000004,TCD
Zimbabwe,138,3.875,0.375846535,0.19676375399999999,0.33638420700000005,0.095375381,ZWE
Lesotho,139,3.808000088,0.5210212470000001,0.0,0.39066129899999996,0.11909464,LSO
Angola,140,3.7950000760000004,0.85842818,0.049868666,0.0,0.069720335,AGO
Afghanistan,141,3.79399991,0.40147721799999997,0.180746779,0.10617952,0.06115783,AFG
Botswana,142,3.766000032,1.122094154,0.34175550899999996,0.505196333,0.09858319900000001,BWA
Benin,143,3.657000065,0.43108540799999995,0.209930211,0.425962776,0.060929015,BEN
Madagascar,144,3.644000053,0.305808693,0.375223309,0.189196765,0.067231975,MDG
Haiti,145,3.6029999260000003,0.368610263,0.27732113,0.030369857000000004,0.09987215,HTI
Yemen,146,3.592999935,0.5916834470000001,0.31008091600000004,0.249463722,0.056767423,YEM
South Sudan,147,3.59100008,0.397248626,0.163486004,0.147062436,0.116793513,
Liberia,148,3.5329999919999997,0.119041793,0.229918197,0.332881182,0.038948249,LBR
Guinea,149,3.5069999689999998,0.24454993,0.19412913899999998,0.34858751299999996,0.110937618,GIN
Togo,150,3.4949998860000004,0.305444717,0.247105569,0.380426139,0.095665015,TGO
Rwanda,151,3.4709999560000004,0.368745893,0.326424807,0.581843853,0.455220014,RWA
Syria,152,3.461999893,0.7771531340000001,0.500533342,0.081539445,0.151347131,SYR
Tanzania,153,3.348999977,0.511135876,0.364509284,0.390017778,0.066035107,TZA
Burundi,154,2.904999971,0.091622569,0.151610792,0.059900753,0.084147945,BDI
Central African Republic,155,2.6930000780000003,0.0,0.018772686,0.270842046,0.056565076,CAF
