happiness_rank,country,happiness_score,gdp_per_capita,health_(life_expectancy),freedom,trust_(government_corruption),year,code
123,Mozambique,4.417,0.198,0.17300000000000001,0.531,0.158,2018,MOZ
124,Kenya,4.41,0.493,0.45399999999999996,0.504,0.055,2018,KEN
125,Zambia,4.377,0.562,0.295,0.503,0.08199999999999999,2018,ZMB
126,Mauritania,4.356,0.557,0.292,0.129,0.09300000000000001,2018,MRT
127,Ethiopia,4.35,0.308,0.391,0.452,0.146,2018,ETH
128,Georgia,4.34,0.853,0.643,0.375,0.215,2018,GEO
129,Armenia,4.321000000000001,0.816,0.6659999999999999,0.26,0.027999999999999997,2018,ARM
130,Myanmar,4.308,0.682,0.429,0.58,0.17800000000000002,2018,MMR
131,Chad,4.301,0.358,0.053,0.18899999999999997,0.06,2018,TCD
132,Congo (Kinshasa),4.245,0.069,0.204,0.312,0.052000000000000005,2018,
133,India,4.19,0.721,0.485,0.539,0.09300000000000001,2018,IND
134,Niger,4.166,0.131,0.221,0.39,0.099,2018,
135,Uganda,4.1610000000000005,0.322,0.237,0.45,0.061,2018,UGA
136,Benin,4.141,0.37799999999999995,0.24,0.44,0.067,2018,BEN
137,Sudan,4.138999999999999,0.605,0.312,0.016,0.08199999999999999,2018,
138,Ukraine,4.103,0.7929999999999999,0.609,0.163,0.011000000000000001,2018,UKR
139,Togo,3.9989999999999997,0.259,0.253,0.434,0.10099999999999999,2018,TGO
140,Guinea,3.964,0.344,0.21100000000000002,0.39399999999999996,0.094,2018,GIN
141,Lesotho,3.8080000000000003,0.47200000000000003,0.079,0.423,0.11199999999999999,2018,LSO
142,Angola,3.795,0.73,0.26899999999999996,0.0,0.061,2018,AGO
143,Madagascar,3.7739999999999996,0.262,0.402,0.221,0.049,2018,MDG
144,Zimbabwe,3.6919999999999997,0.35700000000000004,0.248,0.406,0.099,2018,ZWE
145,Afghanistan,3.6319999999999997,0.332,0.255,0.085,0.036000000000000004,2018,AFG
146,Botswana,3.59,1.0170000000000001,0.41700000000000004,0.557,0.092,2018,BWA
147,Malawi,3.5869999999999997,0.18600000000000003,0.306,0.531,0.08,2018,MWI
148,Haiti,3.582,0.315,0.289,0.025,0.10400000000000001,2018,HTI
149,Liberia,3.495,0.076,0.267,0.419,0.03,2018,LBR
150,Syria,3.4619999999999997,0.6890000000000001,0.539,0.08800000000000001,0.14400000000000002,2018,
151,Rwanda,3.408,0.332,0.4,0.636,0.444,2018,RWA
152,Yemen,3.355,0.442,0.34299999999999997,0.244,0.064,2018,YEM
153,Tanzania,3.303,0.455,0.381,0.48100000000000004,0.09699999999999999,2018,
154,South Sudan,3.2539999999999996,0.337,0.177,0.11199999999999999,0.106,2018,SSD
155,Central African Republic,3.083,0.024,0.01,0.305,0.038,2018,
156,Burundi,2.905,0.091,0.145,0.065,0.076,2018,BDI
